Alpha,Cd
-25.0,0.30987
-24.0,0.29081
-23.0,0.27936
-22.0,0.26705
-21.0,0.2579
-20.0,0.24742
-19.0,0.22723
-18.0,0.2149
-17.0,0.20209
-16.0,0.1906
-15.0,0.17637
-14.0,0.16015
-13.0,0.14671
-12.0,0.13127
-11.0,0.11717
-10.0,0.10397
-9.0,0.09393
-8.0,0.08095
-7.0,0.05991
-6.0,0.0329
-5.0,0.0202
-4.0,0.01644
-3.0,0.01349
-2.0,0.01141
-1.0,0.0096
0.0,0.00894
1.0,0.00911
2.0,0.00942
3.0,0.00986
4.0,0.01056
5.0,0.01179
6.0,0.0132
7.0,0.01464
8.0,0.0162
9.0,0.01769
10.0,0.02082
12.0,0.03039
13.0,0.03967
14.0,0.05212
15.0,0.06911
16.0,0.08569
17.0,0.10262
18.0,0.12268
19.0,0.14788
20.0,0.19097
21.0,0.19954
22.0,0.22167
23.0,0.23615
24.0,0.24999
25.0,0.26407
26.0,0.27694
27.0,0.28829
29.0,0.31787
30.0,0.33092
