Alpha,Cd
-25.0,0.24708
-24.0,0.23474
-23.0,0.22224
-22.0,0.20962
-20.0,0.1868
-19.0,0.17548
-18.0,0.2208
-17.0,0.20474
-16.0,0.18775
-15.0,0.16957
-14.0,0.15225
-13.0,0.13644
-12.0,0.11811
-11.0,0.10439
-10.0,0.08938
-9.0,0.03284
-8.0,0.0238
-7.0,0.01777
-6.0,0.0131
-5.0,0.00984
-4.0,0.00813
-3.0,0.00766
-2.0,0.00715
-1.0,0.00701
0.0,0.00672
1.0,0.00652
2.0,0.00612
3.0,0.00665
4.0,0.00721
5.0,0.0078
6.0,0.00879
7.0,0.0112
8.0,0.01325
9.0,0.0163
10.0,0.01984
11.0,0.02543
12.0,0.03396
13.0,0.04767
14.0,0.06698
15.0,0.09058
16.0,0.11598
17.0,0.14175
18.0,0.16875
19.0,0.19619
20.0,0.22186
21.0,0.24874
22.0,0.28163
23.0,0.30858
24.0,0.32891
25.0,0.34584
26.0,0.36081
27.0,0.37489
28.0,0.32588
29.0,0.40176
30.0,0.41787
