Alpha,Cd
-18.0,0.03746
-17.0,0.02494
-16.0,0.02049
-15.0,0.01743
-14.0,0.01473
-13.0,0.01271
-12.0,0.01217
-11.0,0.01205
-10.0,0.01232
-9.0,0.01249
-8.0,0.01182
-7.0,0.00948
-6.0,0.00795
-5.0,0.00708
-4.0,0.00643
-3.0,0.00632
-1.0,0.00618
0.0,0.00604
1.0,0.00594
2.0,0.00605
3.0,0.00557
4.0,0.00581
5.0,0.00637
6.0,0.00748
7.0,0.00893
8.0,0.01035
9.0,0.01195
10.0,0.01324
11.0,0.01456
12.0,0.0164
13.0,0.01917
14.0,0.02202
15.0,0.02593
16.0,0.0314
17.0,0.03899
18.0,0.04986
19.0,0.06622
20.0,0.08624
21.0,0.10949
22.0,0.13548
23.0,0.16213
24.0,0.19043
25.0,0.21864
26.0,0.24878
27.0,0.26352
28.0,0.28544
29.0,0.30733
30.0,0.32107
