Alpha,Cl
-25.0,-0.8284
-24.0,-0.7875
-23.0,-0.7469
-22.0,-0.706
-21.0,-0.6672
-20.0,-0.6333
-19.0,-0.5855
-18.0,-0.5448
-17.0,-0.5105
-16.0,-0.4724
-15.0,-0.4375
-14.0,-0.4051
-13.0,-0.3978
-12.0,-0.3475
-11.0,-0.3433
-10.0,-0.3292
-9.0,-0.3092
-8.0,-0.4029
-7.0,-0.3888
-6.0,-0.3297
-5.0,-0.2616
-4.0,-0.1377
-3.0,0.0151
-2.0,0.1688
-1.0,0.2804
0.0,0.4682
1.0,0.5773
2.0,0.6867
3.0,0.7914
4.0,0.8953
5.0,1.0002
6.0,1.0982
7.0,1.193
8.0,1.2705
9.0,1.2974
10.0,1.3182
11.0,1.3317
12.0,1.3145
13.0,1.2685
14.0,1.2172
15.0,1.169
16.0,1.1095
17.0,1.0301
18.0,1.0259
19.0,1.0417
20.0,1.0758
21.0,1.1039
22.0,1.131
23.0,1.1658
24.0,1.2011
25.0,1.2434
26.0,1.2722
27.0,1.3075
28.0,1.3458
29.0,1.3739
30.0,1.4059
