Alpha,Cl
-25.0,-0.4504
-24.0,-0.4297
-23.0,-0.4092
-22.0,-0.3908
-21.0,-0.3674
-20.0,-0.3452
-19.0,-0.3248
-18.0,-0.305
-17.0,-0.2794
-16.0,-0.2609
-15.0,-0.2482
-14.0,-0.2401
-13.0,-0.2335
-12.0,-0.3937
-11.0,-0.3695
-10.0,-0.3785
-9.0,-0.4171
-8.0,-0.4252
-7.0,-0.3563
-6.0,-0.2575
-5.0,-0.1513
-4.0,-0.0431
-3.0,0.068
-2.0,0.1802
-1.0,0.2908
0.0,0.3995
1.0,0.5005
2.0,0.6582
3.0,0.7553
4.0,0.8462
5.0,0.9459
6.0,1.0485
7.0,1.1503
8.0,1.2357
9.0,1.3079
10.0,1.3571
11.0,1.4071
12.0,1.439
13.0,1.4581
14.0,1.4521
15.0,1.4093
16.0,1.3483
17.0,1.3175
18.0,1.2843
19.0,1.2541
20.0,1.2247
21.0,1.1906
22.0,1.1399
23.0,0.7284
24.0,0.7254
25.0,0.7364
26.0,0.7499
27.0,0.7579
28.0,0.7665
29.0,0.773
30.0,0.7818
