Alpha,Cd
-25.0,0.32414
-24.0,0.30943
-23.0,0.29434
-22.0,0.27657
-21.0,0.26172
-20.0,0.24805
-19.0,0.23248
-18.0,0.21611
-17.0,0.20017
-16.0,0.18281
-15.0,0.16695
-14.0,0.14985
-13.0,0.13108
-12.0,0.11359
-11.0,0.09688
-10.0,0.07874
-9.0,0.03219
-8.0,0.02298
-7.0,0.01364
-6.0,0.01055
-5.0,0.00833
-4.0,0.00724
-3.0,0.00691
-2.0,0.00675
-1.0,0.00662
0.0,0.00657
1.0,0.00649
2.0,0.00645
3.0,0.00608
4.0,0.0066
5.0,0.00713
6.0,0.00863
7.0,0.01049
8.0,0.01305
9.0,0.01502
10.0,0.01795
11.0,0.0222
12.0,0.02944
13.0,0.0439
14.0,0.06188
15.0,0.08483
16.0,0.11022
17.0,0.13587
18.0,0.16118
19.0,0.18712
20.0,0.21254
21.0,0.23759
22.0,0.26327
23.0,0.30187
24.0,0.32414
25.0,0.34707
26.0,0.36192
27.0,0.37346
28.0,0.38797
29.0,0.40044
30.0,0.41518
