Alpha,Cd
-17.0,0.03135
-16.0,0.0241
-15.0,0.02099
-14.0,0.01848
-13.0,0.01852
-12.0,0.01871
-11.0,0.0191
-10.0,0.01973
-9.0,0.01396
-8.0,0.01228
-7.0,0.01062
-6.0,0.0091
-5.0,0.00797
-4.0,0.0075
-3.0,0.00718
-2.0,0.00688
-1.0,0.00675
0.0,0.00621
1.0,0.00591
2.0,0.00518
3.0,0.00612
4.0,0.00668
5.0,0.00717
6.0,0.00785
7.0,0.00942
8.0,0.011
9.0,0.01345
10.0,0.0149
11.0,0.01699
12.0,0.01905
13.0,0.02194
14.0,0.02602
15.0,0.03243
16.0,0.04514
17.0,0.05611
18.0,0.0711
19.0,0.09082
20.0,0.11519
21.0,0.14053
22.0,0.16565
23.0,0.18972
24.0,0.21342
25.0,0.23508
26.0,0.2557
27.0,0.27416
29.0,0.36252
