Alpha,Cd
-25.0,0.30866
-24.0,0.28982
-23.0,0.27848
-22.0,0.26627
-21.0,0.25716
-20.0,0.24668
-19.0,0.22661
-18.0,0.21436
-17.0,0.20163
-16.0,0.14831
-15.0,0.13729
-14.0,0.13109
-13.0,0.11975
-12.0,0.13073
-11.0,0.11661
-10.0,0.10333
-8.0,0.0792
-7.0,0.05912
-6.0,0.03248
-5.0,0.01991
-4.0,0.01636
-3.0,0.01344
-2.0,0.01134
-1.0,0.00951
0.0,0.00891
1.0,0.00908
2.0,0.00938
3.0,0.00981
4.0,0.01049
5.0,0.0117
6.0,0.01308
7.0,0.0145
8.0,0.016
9.0,0.01749
10.0,0.02042
11.0,0.02434
12.0,0.02938
13.0,0.03828
14.0,0.05001
15.0,0.06639
16.0,0.08247
17.0,0.09884
18.0,0.11783
19.0,0.14124
20.0,0.17491
21.0,0.19885
22.0,0.22077
23.0,0.23522
24.0,0.24894
25.0,0.263
26.0,0.27569
27.0,0.2869
28.0,0.30398
29.0,0.3163
30.0,0.32919
