Alpha,Cd
-25.0,0.23877
-24.0,0.2276
-23.0,0.21595
-22.0,0.20393
-21.0,0.19368
-20.0,0.18426
-19.0,0.17453
-18.0,0.16212
-17.0,0.15379
-16.0,0.14478
-15.0,0.13474
-14.0,0.12454
-13.0,0.11598
-12.0,0.12551
-11.0,0.11349
-10.0,0.09452
-9.0,0.07497
-8.0,0.02785
-7.0,0.01891
-6.0,0.01436
-5.0,0.01161
-4.0,0.00993
-3.0,0.009
-2.0,0.00847
-1.0,0.00766
0.0,0.00691
1.0,0.00593
2.0,0.00641
3.0,0.00705
4.0,0.00822
5.0,0.00915
6.0,0.01
7.0,0.01092
8.0,0.0129
9.0,0.01542
10.0,0.01891
11.0,0.02268
12.0,0.02832
13.0,0.03598
14.0,0.04742
15.0,0.06535
16.0,0.08795
17.0,0.1079
18.0,0.12899
19.0,0.15073
20.0,0.17412
21.0,0.20139
22.0,0.23933
23.0,0.22442
24.0,0.24791
25.0,0.2616
26.0,0.27292
27.0,0.28868
28.0,0.30354
29.0,0.32035
30.0,0.33265
