Alpha,Cd
-25.0,0.3029
-24.0,0.29122
-23.0,0.28083
-22.0,0.27323
-21.0,0.25278
-20.0,0.24085
-19.0,0.22844
-18.0,0.21687
-17.0,0.20666
-16.0,0.18748
-15.0,0.17477
-14.0,0.163
-13.0,0.14708
-12.0,0.13203
-11.0,0.12045
-10.0,0.10478
-9.0,0.09428
-8.0,0.08762
-7.0,0.06619
-6.0,0.04562
-5.0,0.02386
-4.0,0.01819
-3.0,0.01579
-2.0,0.01283
-1.0,0.01049
0.0,0.01017
1.0,0.01029
2.0,0.01053
3.0,0.01092
4.0,0.01152
5.0,0.01264
6.0,0.01408
7.0,0.01559
8.0,0.01723
9.0,0.01882
11.0,0.02567
12.0,0.03059
13.0,0.03961
14.0,0.05201
15.0,0.067
16.0,0.08367
17.0,0.10043
18.0,0.11828
19.0,0.14392
20.0,0.17754
22.0,0.22352
23.0,0.23659
24.0,0.25045
25.0,0.26219
26.0,0.27797
27.0,0.29053
28.0,0.30345
29.0,0.31511
30.0,0.33143
