Alpha,Cl
-14.0,-0.4473
-13.0,-0.4006
-12.0,-0.3815
-11.0,-0.3574
-10.0,-0.3798
-9.0,-0.347
-8.0,-0.4159
-7.0,-0.4786
-6.0,-0.3801
-5.0,-0.2717
-4.0,-0.1338
-3.0,0.0126
-2.0,0.1494
-1.0,0.2873
0.0,0.4388
1.0,0.5373
2.0,0.636
3.0,0.7372
4.0,0.8346
6.0,1.019
7.0,1.1108
8.0,1.1989
9.0,1.2685
10.0,1.3133
11.0,1.3433
12.0,1.3697
13.0,1.3662
14.0,1.3354
15.0,1.31
16.0,1.2878
17.0,1.2754
18.0,1.2346
19.0,1.1538
20.0,0.6885
21.0,0.6843
22.0,0.6919
23.0,0.7074
24.0,0.7087
25.0,0.7287
26.0,1.1769
27.0,1.2105
28.0,1.2351
29.0,1.2614
30.0,1.2875
