Alpha,Cd
-25.0,0.25748
-24.0,0.24383
-23.0,0.23018
-21.0,0.27514
-19.0,0.24539
-18.0,0.22915
-17.0,0.21266
-16.0,0.19559
-15.0,0.17862
-14.0,0.16044
-13.0,0.14581
-12.0,0.12922
-11.0,0.11333
-10.0,0.09934
-9.0,0.08
-8.0,0.06191
-6.0,0.02052
-5.0,0.01236
-4.0,0.00907
-3.0,0.00791
-2.0,0.00738
-1.0,0.0072
0.0,0.0071
1.0,0.00697
2.0,0.00675
3.0,0.00704
4.0,0.00766
5.0,0.00832
6.0,0.00977
7.0,0.01245
9.0,0.01969
10.0,0.02589
11.0,0.03748
12.0,0.05416
13.0,0.0762
14.0,0.1006
15.0,0.12588
16.0,0.15177
17.0,0.17858
18.0,0.20581
19.0,0.23207
20.0,0.26104
21.0,0.28735
22.0,0.31113
23.0,0.33258
24.0,0.27615
25.0,0.36982
26.0,0.38644
27.0,0.40328
28.0,0.41833
