Alpha,Cl
-25.0,-0.7837
-24.0,-0.7482
-23.0,-0.7116
-22.0,-0.6812
-21.0,-0.6417
-20.0,-0.6052
-19.0,-0.5694
-18.0,-0.5375
-17.0,-0.5163
-16.0,-0.4728
-15.0,-0.4411
-14.0,-0.44
-13.0,-0.3918
-12.0,-0.3832
-11.0,-0.3665
-10.0,-0.351
-9.0,-0.3409
-8.0,-0.4353
-7.0,-0.3941
-6.0,-0.302
-5.0,-0.2012
-4.0,-0.0627
-3.0,0.0635
-2.0,0.1805
-1.0,0.2736
0.0,0.4509
1.0,0.5518
2.0,0.6516
3.0,0.7512
4.0,0.847
5.0,0.9388
6.0,1.0307
7.0,1.1246
8.0,1.2111
9.0,1.2789
10.0,1.3186
11.0,1.3549
12.0,1.3826
13.0,1.3671
14.0,1.3364
15.0,1.3063
16.0,1.2802
17.0,1.2532
18.0,1.218
19.0,1.1601
20.0,1.0346
