Alpha,Cd
-18.0,0.03054
-17.0,0.02433
-16.0,0.02104
-15.0,0.0179
-14.0,0.01536
-13.0,0.01432
-12.0,0.01419
-11.0,0.01458
-10.0,0.01484
-9.0,0.01601
-8.0,0.01069
-7.0,0.00909
-6.0,0.00799
-5.0,0.00719
-4.0,0.0068
-3.0,0.00671
-2.0,0.00648
-1.0,0.00638
0.0,0.00616
1.0,0.00595
2.0,0.00565
3.0,0.00566
4.0,0.00617
5.0,0.00662
6.0,0.00747
7.0,0.00918
8.0,0.0104
9.0,0.01247
10.0,0.01391
11.0,0.01528
12.0,0.01708
13.0,0.01961
14.0,0.02405
15.0,0.02824
16.0,0.03396
17.0,0.04178
18.0,0.0523
19.0,0.06639
20.0,0.0851
21.0,0.10832
22.0,0.13491
23.0,0.16243
24.0,0.19217
25.0,0.22515
26.0,0.25133
27.0,0.26522
28.0,0.28397
29.0,0.30995
