Alpha,Cl
-25.0,-0.7748
-24.0,-0.7403
-23.0,-0.7045
-22.0,-0.6753
-21.0,-0.637
-20.0,-0.6015
-19.0,-0.5668
-18.0,-0.5355
-17.0,-0.5159
-16.0,-0.4745
-15.0,-0.4433
-14.0,-0.4432
-13.0,-0.3969
-12.0,-0.3955
-11.0,-0.3699
-10.0,-0.3628
-9.0,-0.3499
-8.0,-0.4448
-7.0,-0.405
-6.0,-0.3057
-5.0,-0.1872
-4.0,-0.0546
-3.0,0.0645
-2.0,0.1755
-1.0,0.2665
0.0,0.4438
1.0,0.5428
2.0,0.6424
3.0,0.7402
4.0,0.8357
5.0,0.9262
6.0,1.0163
7.0,1.1085
8.0,1.1955
9.0,1.2674
10.0,1.3171
11.0,1.3504
12.0,1.3842
13.0,1.382
14.0,1.3602
15.0,1.3346
16.0,1.3089
17.0,1.286
18.0,1.2589
19.0,1.21
20.0,1.0305
22.0,0.6884
23.0,0.7208
24.0,0.71
25.0,0.7247
27.0,0.7422
28.0,0.7522
29.0,0.7643
30.0,0.7735
