Alpha,Cl
-25.0,-0.7711
-24.0,-0.7422
-23.0,-0.7034
-22.0,-0.6684
-21.0,-0.6335
-20.0,-0.6051
-18.0,-0.533
-17.0,-0.5006
-16.0,-0.493
-15.0,-0.4432
-14.0,-0.4492
-13.0,-0.4012
-12.0,-0.3845
-11.0,-0.3595
-10.0,-0.3821
-9.0,-0.3508
-8.0,-0.4155
-7.0,-0.482
-6.0,-0.382
-5.0,-0.2723
-4.0,-0.1342
-3.0,0.0114
-2.0,0.1472
-1.0,0.2944
0.0,0.4356
1.0,0.5356
2.0,0.6336
3.0,0.735
4.0,0.8305
5.0,0.924
6.0,1.0142
7.0,1.1057
8.0,1.1937
9.0,1.2648
10.0,1.3123
11.0,1.3427
12.0,1.3706
13.0,1.3743
14.0,1.3437
15.0,1.3192
16.0,1.2966
17.0,1.2879
18.0,1.2535
19.0,1.1817
20.0,1.024
21.0,1.0312
22.0,0.6898
23.0,0.7059
24.0,0.7066
25.0,0.727
26.0,1.1717
28.0,1.2291
29.0,1.2552
30.0,1.281
