Alpha,Cd
-25.0,0.32391
-24.0,0.30974
-23.0,0.29615
-22.0,0.28255
-21.0,0.27212
-20.0,0.25371
-19.0,0.23828
-18.0,0.22461
-17.0,0.21083
-16.0,0.19909
-15.0,0.18081
-14.0,0.16701
-13.0,0.15471
-12.0,0.13867
-11.0,0.12452
-10.0,0.11243
-9.0,0.09909
-8.0,0.09234
-6.0,0.05233
-5.0,0.0263
-4.0,0.01871
-3.0,0.01476
-2.0,0.01281
-1.0,0.01095
0.0,0.00949
1.0,0.00968
2.0,0.01007
3.0,0.01075
4.0,0.012
5.0,0.01355
6.0,0.01518
7.0,0.01699
8.0,0.0189
9.0,0.02281
10.0,0.02911
11.0,0.03712
13.0,0.0686
14.0,0.08974
15.0,0.11161
16.0,0.13497
17.0,0.16343
18.0,0.20748
19.0,0.23581
20.0,0.25993
21.0,0.22089
22.0,0.23726
23.0,0.25303
24.0,0.26902
25.0,0.28414
26.0,0.29981
27.0,0.31408
28.0,0.33326
29.0,0.3473
30.0,0.3634
