Alpha,Cl
-25.0,-0.8004
-23.0,-0.7253
-22.0,-0.6873
-21.0,-0.6502
-20.0,-0.6192
-19.0,-0.5776
-18.0,-0.5381
-17.0,-0.5037
-16.0,-0.4786
-15.0,-0.4378
-14.0,-0.4156
-13.0,-0.4001
-12.0,-0.3615
-11.0,-0.3442
-10.0,-0.3631
-9.0,-0.3224
-8.0,-0.4133
-6.0,-0.3585
-5.0,-0.2602
-4.0,-0.1243
-3.0,0.0268
-2.0,0.1527
-1.0,0.2635
0.0,0.4541
1.0,0.5576
2.0,0.6613
3.0,0.766
4.0,0.8663
5.0,0.9641
6.0,1.0599
7.0,1.1544
8.0,1.2411
9.0,1.29
10.0,1.3155
11.0,1.3389
12.0,1.3445
13.0,1.312
14.0,1.2736
15.0,1.2401
16.0,1.2074
17.0,1.1584
18.0,1.0224
19.0,1.0214
20.0,1.0451
21.0,1.0679
22.0,1.1007
23.0,0.7216
24.0,0.7278
25.0,0.7452
26.0,0.7569
27.0,0.7634
28.0,0.7774
29.0,0.7915
30.0,0.7925
