Alpha,Cl
-25.0,-0.4864
-24.0,-0.4605
-23.0,-0.4353
-22.0,-0.4164
-20.0,-0.3581
-19.0,-0.3306
-18.0,-0.3137
-17.0,-0.2803
-16.0,-0.2611
-15.0,-0.2341
-14.0,-0.2441
-13.0,-0.2026
-12.0,-0.2089
-11.0,-0.25
-10.0,-0.2969
-9.0,-0.3125
-8.0,-0.3217
-7.0,-0.3391
-6.0,-0.2765
-5.0,-0.2258
-4.0,-0.1177
-3.0,0.0098
-2.0,0.1706
-1.0,0.2979
0.0,0.493
1.0,0.6021
2.0,0.718
3.0,0.829
4.0,0.9371
5.0,1.0479
6.0,1.1489
7.0,1.2331
8.0,1.2808
9.0,1.3001
10.0,1.3079
11.0,1.2971
12.0,1.254
13.0,1.1837
14.0,1.062
15.0,1.0163
16.0,1.0283
17.0,1.0218
18.0,1.0441
19.0,1.0757
20.0,1.1103
21.0,1.1588
22.0,1.187
23.0,1.2345
24.0,1.269
25.0,1.3117
26.0,1.3525
27.0,1.3903
28.0,1.429
29.0,1.4685
30.0,1.5023
