Alpha,Cd
-25.0,0.30396
-24.0,0.29217
-23.0,0.28178
-22.0,0.27409
-21.0,0.2535
-20.0,0.24149
-19.0,0.229
-18.0,0.21748
-17.0,0.20723
-16.0,0.18795
-15.0,0.17519
-14.0,0.16356
-13.0,0.1475
-12.0,0.13262
-11.0,0.12115
-10.0,0.10545
-9.0,0.09483
-8.0,0.08849
-7.0,0.0675
-6.0,0.04627
-5.0,0.02408
-4.0,0.0183
-3.0,0.01589
-2.0,0.01289
-1.0,0.01054
0.0,0.0102
1.0,0.01033
2.0,0.01057
3.0,0.01096
4.0,0.01158
5.0,0.01277
6.0,0.01419
7.0,0.01574
8.0,0.01745
9.0,0.01908
10.0,0.02176
11.0,0.02633
12.0,0.03161
13.0,0.04106
14.0,0.05417
15.0,0.0698
16.0,0.08679
17.0,0.10406
18.0,0.12296
19.0,0.1492
20.0,0.23088
22.0,0.22433
23.0,0.23756
24.0,0.25144
25.0,0.26334
27.0,0.29184
28.0,0.30492
29.0,0.31673
30.0,0.3332
