Alpha,Cl
-25.0,-0.4581
-24.0,-0.4387
-23.0,-0.4148
-22.0,-0.3925
-21.0,-0.3735
-20.0,-0.346
-19.0,-0.3214
-18.0,-0.3011
-17.0,-0.2831
-16.0,-0.2656
-15.0,-0.2413
-14.0,-0.2289
-13.0,-0.2317
-12.0,-0.2402
-11.0,-0.3593
-10.0,-0.3484
-9.0,-0.3667
-8.0,-0.3433
-6.0,-0.2489
-5.0,-0.1478
-4.0,-0.0402
-3.0,0.0726
-2.0,0.1871
-1.0,0.2989
0.0,0.4044
1.0,0.5571
2.0,0.6741
3.0,0.7717
4.0,0.8649
5.0,0.963
6.0,1.0653
7.0,1.1659
8.0,1.2552
9.0,1.3095
10.0,1.3704
11.0,1.3923
12.0,1.4105
13.0,1.3935
14.0,1.3501
15.0,1.2947
16.0,1.2596
17.0,1.2254
18.0,1.1877
19.0,1.1458
20.0,1.0873
21.0,1.0784
22.0,0.7155
23.0,0.7235
24.0,0.7343
25.0,0.7483
26.0,0.7592
27.0,0.7689
28.0,0.7781
29.0,0.7895
30.0,0.7976
