Alpha,Cl
-25.0,-0.4525
-24.0,-0.4417
-23.0,-0.4203
-22.0,-0.6898
-21.0,-0.6545
-19.0,-0.6037
-17.0,-0.6284
-16.0,-1.2709
-15.0,-1.2929
-14.0,-1.1922
-13.0,-1.0807
-12.0,-0.9751
-11.0,-0.8555
-10.0,-0.7342
-9.0,-0.6152
-8.0,-0.4938
-7.0,-0.3947
-6.0,-0.2855
-5.0,-0.1718
-4.0,-0.0573
-3.0,0.0597
-2.0,0.1757
-1.0,0.2914
0.0,0.4056
1.0,0.5169
2.0,0.6247
3.0,0.7304
4.0,0.8575
5.0,0.9754
6.0,1.0714
7.0,1.1683
8.0,1.2591
9.0,1.3558
11.0,1.5267
12.0,1.5917
13.0,1.6461
14.0,1.6986
15.0,1.7372
16.0,1.7577
17.0,1.7525
18.0,1.7057
19.0,1.6545
20.0,1.5813
21.0,1.5045
22.0,1.4366
23.0,1.3752
24.0,1.3305
25.0,1.3103
26.0,1.312
27.0,1.3119
28.0,1.3109
30.0,1.3078
