Alpha,Cd
-25.0,0.24598
-24.0,0.23327
-23.0,0.2166
-22.0,0.20463
-21.0,0.26019
-20.0,0.24697
-19.0,0.23215
-18.0,0.21488
-17.0,0.19663
-16.0,0.17961
-15.0,0.16309
-14.0,0.14766
-13.0,0.12242
-12.0,0.10796
-11.0,0.08796
-10.0,0.03417
-9.0,0.02198
-8.0,0.019
-7.0,0.01413
-6.0,0.00969
-5.0,0.00796
-4.0,0.00685
-3.0,0.0065
-2.0,0.00643
-1.0,0.00638
0.0,0.00647
1.0,0.00654
2.0,0.00649
3.0,0.00601
4.0,0.00625
5.0,0.00683
6.0,0.00857
7.0,0.01011
8.0,0.01237
9.0,0.01427
10.0,0.01659
11.0,0.0204
12.0,0.02775
13.0,0.03849
14.0,0.05553
15.0,0.07794
16.0,0.10324
17.0,0.12916
18.0,0.15488
19.0,0.18038
20.0,0.20569
21.0,0.2298
22.0,0.25612
23.0,0.28756
24.0,0.32405
26.0,0.36016
27.0,0.37424
29.0,0.39931
30.0,0.41467
