Alpha,Cl
-18.0,-1.4539
-17.0,-1.4218
-16.0,-1.3652
-15.0,-1.2581
-14.0,-1.147
-13.0,-1.0381
-12.0,-0.9314
-11.0,-0.8213
-10.0,-0.7082
-9.0,-0.596
-8.0,-0.4876
-7.0,-0.3834
-6.0,-0.2766
-5.0,-0.1662
-4.0,-0.0547
-1.0,0.2849
0.0,0.3967
1.0,0.5056
3.0,0.713
4.0,0.8372
5.0,0.9532
6.0,1.0475
7.0,1.1415
8.0,1.2365
9.0,1.3275
11.0,1.5064
12.0,1.5757
13.0,1.6315
14.0,1.6891
15.0,1.7388
16.0,1.7768
17.0,1.8005
18.0,1.8074
19.0,1.7899
20.0,1.7361
21.0,1.6738
22.0,1.5999
23.0,1.5286
24.0,1.4743
25.0,1.4084
26.0,1.3613
27.0,1.3427
28.0,1.3438
29.0,1.3428
30.0,1.3401
