Alpha,Cl
-25.0,-0.4525
-24.0,-0.4328
-23.0,-0.4202
-22.0,-0.6875
-21.0,-0.6516
-20.0,-0.6188
-19.0,-0.5913
-16.0,-0.7632
-15.0,-1.261
-14.0,-1.1903
-13.0,-1.0734
-12.0,-0.9549
-11.0,-0.8352
-10.0,-0.7165
-9.0,-0.5977
-8.0,-0.5031
-7.0,-0.3952
-6.0,-0.2842
-5.0,-0.1708
-4.0,-0.0556
-3.0,0.0609
-2.0,0.1765
-1.0,0.2917
0.0,0.4055
1.0,0.5168
2.0,0.6227
3.0,0.7246
4.0,0.8681
5.0,0.9716
6.0,1.072
7.0,1.1634
8.0,1.2597
9.0,1.3464
10.0,1.431
11.0,1.5073
12.0,1.572
13.0,1.6183
14.0,1.6533
15.0,1.6857
16.0,1.6978
17.0,1.6908
18.0,1.6576
19.0,1.597
20.0,1.52
21.0,1.4452
22.0,1.3795
23.0,1.3225
24.0,1.2769
25.0,1.2857
26.0,1.2796
29.0,1.2824
30.0,1.308
