Alpha,Cl
-16.0,-1.2813
-15.0,-1.2542
-14.0,-1.1659
-13.0,-1.0392
-12.0,-0.9032
-11.0,-0.7779
-10.0,-0.6678
-9.0,-0.5879
-8.0,-0.484
-7.0,-0.3784
-6.0,-0.2712
-5.0,-0.1626
-4.0,-0.0507
-3.0,0.0617
-2.0,0.1746
-1.0,0.2874
0.0,0.3971
1.0,0.5064
2.0,0.605
4.0,0.8464
5.0,0.9482
6.0,1.0507
7.0,1.1423
8.0,1.234
9.0,1.3113
10.0,1.3968
11.0,1.4619
12.0,1.5275
13.0,1.5814
14.0,1.6226
15.0,1.6353
16.0,1.6098
17.0,1.607
18.0,1.5798
19.0,1.5266
20.0,1.4618
21.0,1.4033
22.0,1.3562
23.0,1.3222
24.0,1.3033
25.0,1.2802
26.0,1.2905
27.0,1.2772
29.0,1.2628
30.0,1.2902
