Alpha,Cl
-21.0,-0.6661
-20.0,-0.625
-19.0,-0.5843
-18.0,-0.5496
-17.0,-0.5217
-16.0,-0.4703
-15.0,-0.4367
-14.0,-0.4076
-13.0,-0.3761
-12.0,-0.3508
-11.0,-0.3476
-10.0,-0.3125
-9.0,-0.3271
-8.0,-0.3883
-7.0,-0.3302
-6.0,-0.2714
-5.0,-0.1882
-4.0,-0.0599
-3.0,0.0644
-2.0,0.1903
-1.0,0.3012
0.0,0.483
1.0,0.5877
2.0,0.693
3.0,0.7966
4.0,0.8954
5.0,0.9956
6.0,1.095
7.0,1.1908
8.0,1.2623
9.0,1.3012
10.0,1.325
11.0,1.346
12.0,1.3387
13.0,1.2932
14.0,1.2458
15.0,1.2015
16.0,1.1589
17.0,1.0976
18.0,1.0409
19.0,1.0475
21.0,1.095
22.0,1.1365
23.0,1.1685
24.0,1.2013
25.0,1.2424
26.0,1.2739
27.0,1.3077
28.0,1.3417
29.0,1.3753
30.0,1.4051
