Alpha,Cd
-18.0,0.16587
-17.0,0.15664
-16.0,0.14714
-15.0,0.13707
-14.0,0.16322
-13.0,0.14678
-12.0,0.13265
-11.0,0.11978
-10.0,0.10449
-9.0,0.08888
-8.0,0.0649
-7.0,0.02973
-6.0,0.02076
-5.0,0.01407
-4.0,0.01099
-3.0,0.00965
-2.0,0.0088
-1.0,0.00821
0.0,0.0075
1.0,0.00631
2.0,0.00692
3.0,0.00789
4.0,0.00905
5.0,0.00996
6.0,0.01098
7.0,0.01223
8.0,0.01532
9.0,0.01838
10.0,0.02427
11.0,0.03192
12.0,0.04486
13.0,0.06192
14.0,0.08304
15.0,0.1059
16.0,0.12938
17.0,0.1537
18.0,0.17953
19.0,0.20743
20.0,0.23804
21.0,0.26823
22.0,0.29059
23.0,0.31365
24.0,0.33018
25.0,0.34373
26.0,0.29323
27.0,0.30939
28.0,0.32628
29.0,0.34501
30.0,0.35979
