Alpha,Cl
-25.0,-0.8712
-24.0,-0.8256
-23.0,-0.7825
-22.0,-0.7405
-21.0,-0.6921
-20.0,-0.6466
-19.0,-0.6023
-18.0,-0.5637
-17.0,-0.517
-16.0,-0.4731
-15.0,-0.4403
-14.0,-0.3982
-13.0,-0.3755
-12.0,-0.335
-11.0,-0.3289
-10.0,-0.291
-9.0,-0.3182
-8.0,-0.3379
-7.0,-0.2811
-6.0,-0.225
-5.0,-0.1525
-4.0,-0.0674
-3.0,0.0655
-2.0,0.1993
-1.0,0.3195
1.0,0.6202
2.0,0.7273
3.0,0.8324
4.0,0.9378
5.0,1.045
6.0,1.1466
7.0,1.2328
8.0,1.2832
9.0,1.3089
10.0,1.3231
11.0,1.3247
12.0,1.2843
13.0,1.2276
14.0,1.1682
15.0,1.1161
16.0,1.0504
17.0,1.0324
18.0,1.0577
19.0,1.0824
20.0,1.1101
21.0,1.1505
22.0,1.1896
23.0,1.2347
24.0,1.2696
25.0,1.3113
26.0,1.3546
27.0,1.3905
28.0,1.4293
29.0,1.4662
30.0,1.502
