Alpha,Cd
-22.0,0.20501
-21.0,0.254
-20.0,0.23789
-19.0,0.22669
-18.0,0.21444
-17.0,0.20133
-16.0,0.14562
-15.0,0.17184
-14.0,0.15571
-12.0,0.12786
-11.0,0.11124
-10.0,0.09486
-8.0,0.04797
-7.0,0.02471
-6.0,0.01751
-5.0,0.01368
-4.0,0.01101
-3.0,0.01004
-2.0,0.00924
-1.0,0.00817
0.0,0.00677
1.0,0.00677
2.0,0.00711
3.0,0.00765
4.0,0.00858
5.0,0.00983
6.0,0.01087
7.0,0.0119
8.0,0.0131
9.0,0.01569
10.0,0.01836
11.0,0.02282
12.0,0.02762
13.0,0.03538
14.0,0.04839
15.0,0.06288
16.0,0.07943
17.0,0.09851
18.0,0.11882
19.0,0.13989
20.0,0.16225
21.0,0.1876
22.0,0.2722
23.0,0.286
24.0,0.29825
25.0,0.25782
26.0,0.33192
27.0,0.34339
28.0,0.35185
29.0,0.36426
30.0,0.37884
