Alpha,Cd
-24.0,0.29395
-23.0,0.28216
-22.0,0.26956
-21.0,0.26026
-20.0,0.24974
-19.0,0.22914
-18.0,0.21661
-17.0,0.20355
-16.0,0.19214
-15.0,0.17794
-14.0,0.16147
-13.0,0.14828
-12.0,0.13286
-11.0,0.11885
-10.0,0.1058
-9.0,0.0959
-8.0,0.0844
-7.0,0.0623
-6.0,0.03413
-5.0,0.02111
-4.0,0.0167
-3.0,0.01373
-2.0,0.01164
-1.0,0.00988
0.0,0.00902
1.0,0.00921
2.0,0.00953
3.0,0.01
4.0,0.01079
5.0,0.01213
6.0,0.01361
7.0,0.01514
8.0,0.01656
9.0,0.01835
10.0,0.02206
11.0,0.0265
12.0,0.03352
13.0,0.04424
14.0,0.05884
15.0,0.07737
16.0,0.09548
17.0,0.11438
18.0,0.13778
19.0,0.16918
20.0,0.22323
21.0,0.26301
22.0,0.2807
23.0,0.29588
24.0,0.31194
25.0,0.32477
26.0,0.33636
27.0,0.35299
28.0,0.36243
29.0,0.3732
30.0,0.38236
