Alpha,Cl
-25.0,-0.7752
-24.0,-0.7411
-23.0,-0.7065
-22.0,-0.6706
-21.0,-0.638
-20.0,-0.6087
-19.0,-0.5701
-18.0,-0.5348
-17.0,-0.5017
-16.0,-0.481
-15.0,-0.4606
-14.0,-0.4205
-13.0,-0.4147
-12.0,-0.3854
-11.0,-0.3859
-10.0,-0.3594
-9.0,-0.38
-8.0,-0.4522
-7.0,-0.3531
-6.0,-0.2772
-5.0,-0.1605
-4.0,-0.0368
-3.0,0.0767
-2.0,0.1797
-1.0,0.2767
0.0,0.4454
1.0,0.5449
2.0,0.6441
3.0,0.7414
4.0,0.8357
5.0,0.9246
6.0,1.0155
7.0,1.1085
8.0,1.1945
9.0,1.273
10.0,1.3209
12.0,1.3944
13.0,1.3929
14.0,1.3767
15.0,1.3393
16.0,1.315
17.0,1.2953
18.0,1.2657
19.0,1.2212
20.0,1.1274
21.0,0.704
22.0,0.7049
23.0,0.7019
24.0,0.7253
25.0,0.7222
26.0,0.7335
27.0,0.749
29.0,0.7616
30.0,0.77
