Alpha,Cd
-14.0,0.16371
-13.0,0.1509
-12.0,0.13536
-11.0,0.12163
-10.0,0.10857
-9.0,0.09433
-8.0,0.08779
-7.0,0.06615
-6.0,0.03623
-5.0,0.02289
-4.0,0.01728
-3.0,0.01411
-2.0,0.01224
-1.0,0.01039
0.0,0.00923
1.0,0.00939
2.0,0.00974
3.0,0.01027
4.0,0.01127
5.0,0.0127
6.0,0.01417
7.0,0.01578
8.0,0.01744
9.0,0.01978
10.0,0.02446
11.0,0.03007
12.0,0.03943
13.0,0.05322
14.0,0.07104
15.0,0.09146
16.0,0.11192
17.0,0.135
18.0,0.16356
19.0,0.20443
20.0,0.24771
21.0,0.27047
22.0,0.28833
23.0,0.24439
24.0,0.25927
25.0,0.27365
26.0,0.28806
27.0,0.30078
28.0,0.3189
29.0,0.33203
30.0,0.34656
