x,Curve1
3.0221,158.774
4.5049,158.561
5.4208,158.157
6.5462,157.591
7.9603,156.65
9.077,155.829
10.8326,154.26
13.3681,152.082
14.9588,150.823
17.5941,149.343
20.9893,147.653
23.0879,146.708
25.0002,146.257
28.2834,145.296
32.1465,144.404
35.9683,143.757
39.0029,143.264
44.1755,142.551
47.6107,142.101
50.0941,141.847
