x,Curve1
3.1004,160.121
5.6503,157.363
8.3373,155.343
11.6902,153.481
14.3373,152.204
16.6504,151.274
18.7388,150.478
20.6876,149.801
23.8573,148.862
25.9521,148.298
29.2367,147.485
31.895,146.873
34.615,146.278
36.6239,145.866
38.5945,145.406
41.1134,144.883
43.8334,144.288
46.2359,143.87
48.1671,143.533
49.4884,143.258
