x,Curve1
2.9039,158.213
5.5666,155.509
8.0157,153.67
10.4324,152.125
12.6022,150.881
14.8573,149.7
17.1674,148.544
19.6421,147.516
22.0432,146.498
23.6623,146.147
25.6873,145.524
27.8475,145.039
30.1035,144.602
32.9151,144.164
35.827,143.728
37.974,143.443
39.6964,143.193
42.1287,142.931
45.758,142.544
49.2632,142.248
